['12 историй о настоящей любви (сборник)'],2016 
['Подарок плейбоя'],2003
['Подарок Санта-Клауса'],2007
['Подарок Сахары'],2004
['Подарок соперницы'],2016
['Подарок судьбы'],1995
['Подвенечное платье'],2017
['Подвыпившие'],2005
['Подкова на счастье'],1999
['Подлинная красота'],2004
['Подлинно сильный пол'],2004
['Подлинное искушение'],2009
['Подлинное чувство'],2014
['Подмени моего жениха'],2011
